Run 1
18.29999999999999, 3196.8684210526317, 38, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
18.499999999999993, 3135.025641025641, 39, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
18.699999999999996, 3072.975, 40, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
18.9, 3092.170731707317, 41, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
19.1, 3040.3809523809523, 42, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
19.300000000000004, 3029.279069767442, 43, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
19.500000000000007, 2990.568181818182, 44, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
19.70000000000001, 2983.3777777777777, 45, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
19.900000000000013, 3047.1521739130435, 46, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
20.100000000000016, 3037.6170212765956, 47, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
20.30000000000002, 3061.2916666666665, 48, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
20.50000000000002, 3120.326530612245, 49, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
20.700000000000024, 3138.2, 50, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
20.900000000000027, 3097.0588235294117, 51, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
21.10000000000003, 3120.519230769231, 52, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
21.300000000000033, 3070.9245283018868, 53, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
21.500000000000036, 3062.6481481481483, 54, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
21.70000000000004, 3114.818181818182, 55, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
21.90000000000004, 3131.75, 56, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
22.100000000000044, 3088.3508771929824, 57, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
22.300000000000047, 3043.637931034483, 58, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
22.50000000000005, 3092.5593220338983, 59, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
22.700000000000053, 3107.633333333333, 60, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
29.300000000000146, 3078.4262295081967, 61, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
29.50000000000015, 3038.4193548387098, 62, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
29.700000000000152, 3031.126984126984, 63, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
29.900000000000155, 3024.78125, 64, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
30.100000000000158, 3018.492307692308, 65, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
37.90000000000027, 3037.257575757576, 66, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
38.10000000000027, 3056.955223880597, 67, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
38.300000000000274, 3098.544117647059, 68, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
38.50000000000028, 3110.2753623188405, 69, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
38.70000000000028, 3135.6857142857143, 70, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
38.90000000000028, 3110.0845070422533, 71, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
39.100000000000286, 3120.152777777778, 72, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
39.30000000000029, 3095.5753424657532, 73, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
39.50000000000029, 3088.9324324324325, 74, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
39.700000000000294, 3061.8, 75, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
39.9000000000003, 3033.7368421052633, 76, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
40.1000000000003, 3004.4805194805194, 77, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
48.900000000000425, 2977.8846153846152, 78, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
